moment,agency,social
I was happy when spring finally arrived and I was able to plant my garden.,yes,yes
M wife gave me a present for my birthday.,no,yes
I lost 20 pounds.,yes,no
I ate the best broccoli and chicken of my lie.,yes,no
I went for a tour with my colleagues.,yes,yes
I discovered a new video game to play that I love.,yes,no
I received my tax refund in the mail and I knew I would be able to catch up on my bills.,yes,no
I received a hefty paycheck,no,no
When my nephew smiles at me,no,yes
My best friend asked me if I could be in charge of planning her baby's gender reveal party.,no,yes
I attended the wedding of my nephew and I am so happy for the couple.,yes,yes
My girlfriend decided to stay home with me to hang out instead of going to the gym.,no,yes
I got my brother to help me buy together an Elliptical machine so I can lose weight this summer and get healthy.,yes,yes
I felt happy when I made my boyfriend happy by buying him a special birthday cake.,yes,yes
I learned that one of my favorite radio DJ would return after an automobile accident.,yes,yes
I felt happy when I finished my final physical therapy school internship.,yes,no
"I went to my nephews 2nd birthday party and got to see my other nephew, niece and family.",yes,yes
"I was happy when my foster puppy used the puppy pad more than once in a day, indicating that she was trained.",no,no
I seen a movie at the theater that I really enjoyed.,yes,no
I did some bike riding.,yes,no
I got to spend time with old coworkers yesterday.,yes,yes
I played basketball with my brother.,yes,yes
When I won a close game in  madden 17.,yes,no
"I have just booked a hotel in Longbeach LA, where I will be attending a convention.",yes,yes
Going out with friends for my Birthday.,yes,yes
I got an amazing job opportunity to illustrate for a magazine.,yes,yes
I picked up my husband at the airport,yes,yes
My husband's adult daughter announced that she had lost almost 70 pounds and her doctor told her that her health had improved drastically because of the weight loss so we're very pleased with that.,no,yes
I hung out with friends and ate at a restaurant.,yes,yes
My film was invited to play in a prestigious festival.,no,no
My neighbors got a new dog.,no,yes
I put my headphones in an took my dog on a walk at sunset.,yes,no
I finished a project at work that I had been working on for months.,yes,no
Had lunch with an old lady friend of mine that I haven't seen in ages and she looked and was doing well...that made me happy on many levels!,yes,yes
A free demo for a video game was made available without having to preorder it.,no,no
My ex boyfriend helped me to replace the control arm on my car to make it more reliable.,no,yes
I found out I'm getting to go on a work trip to Miami which will be a fun change of pace.,yes,no
Im going into work tomorrow to get a lot of things finished,yes,no
My daughter and I went to a very old movie theater for a 90 year anniversary party and watched a silent movie.,yes,yes
"My husband and I put down a deposit on a trip to Europe this summer, hiking and biking in England and France.",yes,yes
I beat a videogame and unlocked everything.,yes,yes
"After years of hard work and a series of disappointments in terms of my business school experience, i was finally accepted into every law school I applied to",no,no
"Accomplishing a goal in a video game, i regularly play",yes,no
One thing that made me happy was getting a raise at work.,no,no
"My parents got home with my dinner, and I was really hungry.",yes,yes
I got a promotion at work.,yes,yes
I hit a $500 jackpot on video poker at the casino,yes,no
I was asked to interview for a position I'm interested in.,no,yes
My chickens started laying eggs.,no,no
On my birthday a friend invited me out to lunch with her family and they bought my meal and got me a dessert.,yes,yes
Playing with my cat,yes,no
I visited my mother,yes,yes
When I received an email from my graduating daughter from college that she received a response for an interview within the animation field.,no,yes
My son and I traveled this week to Tennessee,yes,yes
Last week my neighbor baked us a pie for dessert.,no,yes
I ran 5 miles.,yes,no
When I got a bonus at work.,no,no
I was happy to celebrate  ago's birthday with the whole family.,yes,yes
I got a promotion at work.,yes,yes
I WENT TO SHOPPING,yes,no
It made me happy when I was told that I qualified for an above average raise!,no,no
Lost enough weoght to fit into a size smaller pants,yes,no
Eating my favorite childhood cereal.,yes,no
My doggie had puppies.,no,no
"I went on a hike and was able to see a majestic view of the hills, ocean, and my city.",yes,no
My wife got a big bonus at work.,no,yes
"I am very happy to have an amazing family, friends, girlfriend, and life.",yes,yes
My college had a successful premiere of music to the silent movie Metropolis two weeks ago.,no,no
My husband and I went to the movies.,yes,yes
I saw a comedian at a casino he had a very good act after the show he gave me an autograph.,yes,yes
I landed a new client that hired me to create a new website.,yes,yes
I got to nap with my cat purring next to me and it was very peaceful.,yes,no
I purchased new food items from Trader Joe's that were really delicious.,yes,yes
making 30 dollars in one day on mturk made me happy.,yes,no
I quit my job and started something new that I really enjoy.,yes,no
We got through a big awards ceremony that my team was responsible for and got lots of kudos on a job well done.,yes,yes
"My son, only a sophomore musician in high school, was asked to play in his first professional gig (a community theater orchestra pit) based on the director seeing him at a school event.",no,yes
I purchased a home in the town i grew up in.,yes,no
I when to the shoe store and found some cute shoes for my son on sale so I bought them I was so excited.,yes,no
I made a fantastic sandwich yesterday.,yes,no
I went to see my favorite band in NYC for New Years Eve.,yes,yes
Trying a new restaurant with my boyfriend last night.,yes,yes
I was able to go on a skiing trip with some friends and my fiance.,yes,yes
I finally got the promotion at work that i have craved for 3 years.,no,no
I got a good grade on a test.,yes,no
I got a new part for my computer!,yes,no
"I have made Dean's list for the first time ever, with my best grades ever, and that is amazing to me at a college level.",yes,no
"My parents came to visit me, even though they live far away.",no,yes
My fiancee accepted my marriage proposal.,no,yes
"Having the confidence to drive to Cleveland, first time on the freeway!",yes,no
We traveled on a vacation to Azores Islands in Portugal and enjoyed nature!,yes,yes
I saw one of my favorite musical artists perform headlining shows in the northeast for the first time.,yes,no
When my little female cousin was accepted into one of the best universities in the state of New York.,no,yes
"I got a new pet parrot, and he is already talking words.",yes,yes
Went to a nice gaming bar/lounge with some friends.,yes,yes
I attended a baseball game in which the Texas Rangers ACTUALLY won.,yes,yes
I did well on a recent job interview,yes,yes
My parents visited me after three long years.,no,yes
"My 4 year old daughter said ""I want Daddy to tuck me in because I love him.""",yes,yes
My toddler son smiled at me.,no,yes
I made a bunch of new friends recently.,yes,yes
My boyfriend took me out for a day on the town visiting some of our favorite spots and restaurants.,no,yes
I crossed over the border of my home state after a long trip away.,yes,no
Got a call from Sebastian.,no,yes
My aunt sent me a surprise check that helped tremendously with the cost of my wedding.,no,yes
"During WrestleMania weekend this past April, two of my favorite tag teams wrestled in one of the best matches I have ever seen.",no,yes
Starting to live a healthier lifestyle and making exercise a part of my daily routine made me happy.,yes,no
I was very happy when I used several coupons and cash back sites at the grocery store and earned cash back on my purchases.,yes,no
playing video games,yes,no
my husband was released from jail.,yes,yes
I got to eat  at this burger joint that i had been wanting to go to for a long time and it was delicious.,yes,no
I found out I was pregnant with my first child.,yes,yes
The time I spent with a specific person I met at Aruba,yes,yes
One of my favorite singers released a new song.,no,yes
My boyfriend asked me to pick out engagement rings for the first time.,no,yes
I got to have some extra time to spend with my children.,yes,yes
My birthday on march.That day I got gifts  from my friends.we went barbeque nation for dinner.the hole day was very happy for me.,yes,yes
"I was able to get tickets to see Madame Butterfly at the Kennedy Center for $35 instead of almost $200, the usual price.",yes,no
My basketball team won a very important game while I was at a party and we all celebrated.,no,yes
MY COLLEGE 1ST DAY INAGURATION FUNCTION,yes,no
I found a bunch of cute clothes at a thrift store for a dollar each.,yes,no
Me and my friend went for a shopping and took 3 shirts for him and we returned back to home after booking a cab.The day was so fulfilled,yes,yes
Got a new tablet,yes,no
There was an art show at my daughters school in which she was a main participant in it.,no,yes
graduation of my brother,no,yes
I felt happy when i got a job after being unemployed for so long.,yes,no
I went to the lake with my wife and daughter.,yes,yes
I was very happy when my wife informed me that she received a bonus on her paycheck from her work.,no,yes
I went on vacation with my family.,yes,yes
Getting a positive response on my youtube video made me happy,no,yes
I went bowling with a group of friends last night.,yes,yes
My parents were able to attend my sons ceremony when he graduated from the program he attended.,no,yes
"I finished work on an onerous, difficult committee I served on at work.",yes,no
My husband left the job he hated and found one he loved.,yes,yes
I had dinner with an old friend and hopefully reconnected.,yes,yes
I brought a new phone that I worked hard for.,yes,no
I enjoyed visiting an art gallery with my brother.,yes,yes
I got a 20 dollar bonus on Mturk.,yes,no
I earned a big bonus on some work that I did.,yes,no
I visited my mom at her house last night.,yes,yes
My son got a glowing review on his day at preschool.,no,yes
I went jogging by myself and had a nice bit of time for myself in the process.,yes,no
An ex-gf got back in touch with me who I had been thinking about.,no,yes
Going shopping for new clothes at the mall made me happy.,yes,no
Seeing my girlfriend enjoy her present I got her.,yes,yes
My son has started reading 3-letter words.,no,yes
I finally found a shirt on Ebay that i'd been searching for for weeks.,yes,no
Going to the Zoo with my nephews made me real happy.,yes,yes
It made me happy to buy a new phone with my own money.,yes,no
"I found my wallet, which I had misplaced two days before.",yes,no
I reached a designated weight I was trying to get to in the gym,yes,no
My sister made a surprise visit and cooked me my favorite meal.,no,yes
I went to a local soccer match with a few friends.,yes,yes
The sun broke through today after a few days of rain.,no,no
My husband washed all the dishes and cooked dinner for me one night last week when I had to work late.,no,yes
My toddler started stacking the blocks on top of each other for the first time instead of just throwing them around.,no,yes
Never was late to work for those months.,yes,no
Yesterday I completed a video game that was very  hard and took a lot of time to finish.,yes,no
One event that made me happy was when a customer at work said that I had good energy and she could tell I was a good person.,no,yes
I found a new girlfriend.,yes,yes
My sister-in-law's dog fell into the rapids while hiking and I was able to rescue it.,no,yes
Found the perfect cherry tree to plant in the yard in memory of my dad.,yes,yes
I ordered a lavender-flavored latte and was pleasantly surprised by how delicious it was.,yes,no
An event that made me happy in the past three months was making 13 dollars on a hit on amazon turk.,yes,no
I finished the physical therapy I needed.,yes,no
I got three days off from work.,no,no
My salary was increased.,yes,no
I was able to get one step closer to opening a small business project.,yes,no
I turned a closet into a reading nook and painted the walls in an abstract and glittery fashion.,yes,no
Going to visit a cousin in her new home.,yes,yes
Winning a poker tournament at a local casino,yes,yes
Yesterday as I was leaving the gym I found 200 dollars in the parking lot which made my night.,no,no
Playing ball with my dog in the park.,yes,no
I got promotion in my job last month.,no,no
Knowing the answer to every question in an exam immediately,no,no
I felt happy when my fiance landed the job he wanted.,no,yes
Last month my child birthday came and we celebrated with joy and i was very happy because after she came in to my family i got lot of good fortune and i bought a new car.i presented her with a teddy bear as her birthday gift and in the evening we went out for dinner and had our time spend very happily.,yes,yes
I beat my previous record of money made in a single day on mturk.,yes,no
I went to see the new Fate of the Furious movie with my brother and grandpa.,yes,yes
I bought a new laptop.,yes,no
I got a chance to purchase a second monitor for my computer and I was able to get more work done.,yes,no
"Easter dinner this year was very special because it was my grandson's first Easter and he loved the little Easter basket that I got for him, it always lifts my heart and fills me with happiness and love when I feel like I have made someone else happy.",yes,yes
My spouse and I went to the movies a couple of weeks ago and really enjoyed our time together.,yes,yes
Watching my son warm up to the baby finally.,no,yes
I WENT TO shopping mall,yes,no
"I finished up a very difficult college course and made an ""A"".",yes,no
i want celebrate this moment.so i go to restaurant with my family.it is very happy moment in my life.i feel very happy with enjoy my family and friends.it gives lot of goodness in my life.i felt very happy to this occasion.it is very good moment in my life.i feel very secure position about my financial status.,yes,yes
I saved over $30 on a weekly shopping trip to the grocery store.,yes,no
2 WEEKS BEFORE I BOUGHT APPLE I PHONE...,yes,no
2 months ago i played tennis with my friends and i won in that game and really enjoyed my friends also encouraged me to win all over the world matches,yes,yes
My son got a scholarship two days back and I am very much happy about it.,yes,yes
I got a my dream job offer .,no,yes
Having good weather for the first time in about 7 months today.,no,no
Having my favorite dish after long time,yes,no
My work colleague gave me the news that I was promoted to a higher rank.,yes,yes
My favorite author released a new book after a two years hiatus.,no,no
"I was happy to open my fridge and see that I had several cold beers waiting for me after a long, tiring day at work.",yes,no
I bought a new car,yes,no
Finishing work for the day,yes,no
Boating with my sister son whole day and enjoyed every movement became a child,yes,yes
I have a new caddy and everybody loves it,yes,yes
I went to my relative marriage function and had great time with my friends.,yes,yes
I booked a trip to Singapore for summer!,yes,no
"We got a new lawn mower to replace our old, worn down mower.",yes,yes
MY FATHER WAS BUYING A NEW BIKE ON  LAST MONTH  FOR ME THAT MOMENT I WAS SURPRISED BECAUSE I LOVE BIKE RIDING.,no,yes
Anniversary Celebration of my Parents last Saturday April 29,yes,yes
"My best friend graduated from Law School, so I got to proudly attend his graduation ceremony.",no,yes
The weather was great outside.,no,no
"I just realized that I don't have to go to work tomorrow, so I'll be spending the morning doing things I want to do.",yes,no
last weekend i saw movie Bahubali with friends.,yes,yes
Helping my brother move,yes,yes
I finally completed the training courses that I needed to get done.,yes,no
when my mom made me my favorite meatball sphaghetti.,no,yes
"Yesterday, I had my favourite dinner made by my mom.",yes,yes
I bought a new bike for me.,yes,no
I was happy when I found a new show I liked to watch on Netflix that was very addicting.,yes,no
My 3 year old son is finally loving preschool.,no,yes
"After a long time, I loosed my weight by two kilograms.",yes,no
I bought new motorcycle,yes,no
Going to my dads house for a cookout,yes,yes
I felt happy playing video games with my friends online yesterday.,yes,yes
"Last week, I was given a raise at work.",yes,no
I purchased a guitar for my sister.,yes,yes
"A cold rain after a week of hot, humid days.",no,no
My daughter passed all of her college finals!,no,yes
Went to see my son's present his college senior design project.,yes,yes
I bought a CD of my favorite singer.,yes,no
ate a great steak,yes,no
"Today, all teachers at my school were given a free lunch and gift card for teacher appreciation day, which was awesome!",yes,yes
I bought an item that I thought was $8 but it turned out to be half price!,no,no
I hit 100 subscribers on my YouTube channel.,no,yes
I made reservations for an upcoming vacation.,yes,no
I got so Skype with a friend who I hadn't spoken with in a long time.,yes,yes
I joined a writing challenge that I've been interested in for years.,yes,no
"While cleaning out our attic, my older brother found a handmade birthday card I'd given him on his birthday more than twenty years ago and showed it to me.",no,yes
My fiance and I prepared a delicious dinner together.,yes,yes
I went to a baseball game with a large group of my friends,yes,yes
"A video game I'd been waiting on for a really, really long time finally came out.",no,no
I hit another major milestone in the book that I am writing.,yes,no
I was granted a job interview.,no,no
I made it through an entire day at work without having to explain to a coworker why it wasn't acceptable to hit me.,yes,no
Had a get together and dinner with some old friends and had a fun time.,yes,yes
I lifted more weight than I ever have before at the gym.,yes,no
My dad had a successful surgery to repair a hernia and is feeling better.,no,yes
My wife told me she appreciate me checking in on how she is feeling every few nights.,no,yes
I learned a new trick on my skateboard.,yes,no
I made my own sourdough bread and it was delicious.,yes,no
I had a great date night with my wife.,yes,yes
I had morning coffee with a friend,yes,yes
They had everything I was looking for one day when I went shopping and everything was super fast and I had great customer service as well!,yes,no
My dog made a nest out of blankets he found and has now declared it his little part of the house.,no,no
My workplace had a birthday party for one of my coworkers.,no,yes
I felt happy when my daughter tested out of her intensive reading program.,no,yes
I had a good experience at a new restaurant.,yes,no
I thought of a creative idea for mother's day this morning and can't wait to implement it to make my mother happy.,yes,yes
An event that made me happy is going to a play of my nephews at his school.,yes,yes
"An ""Ask Me Anything"" thread that was hosted by a self-made millionaire who programs apps for a living; it gave me inspiration that I may, one day, experience a similar level of success.",yes,yes
I WENT TO TEMPLE,yes,no
Feeling comfortable to talk to by friend about personal things I normally wouldn't talk about.,yes,yes
Flowers from my husband unexpectedly for nothing just because.,no,yes
An old friend messaged me out of the blue and congratulated me on my new job.,no,yes
I discovered cloud gaming (liquidsky.com) and can now play games that my current computer can't handle.,yes,no
Last week when my husband got a rewards for his performance from the company.He was very happy when he showed it.I too was very happy and feel like as if I had achieved it.I felt really happy for him.I feel very proud .I got very exited and felt that hard work has paid off.,no,yes
I was happy when I figured out what gift I would then buy my boyfriend for his birthday.,yes,yes
Taking a long walk along the creek behind our house.,yes,no
I got to read some of my favorite book while sitting in the sunshine.,yes,no
"I found a raccoon snoozing in a cubbyhole above our backyard awning, and she let me take her picture.",yes,no
I received an unexpected raise at work.,yes,no
"I was happy when I flew home and visited with my parents, who live very far away.",yes,yes
The flowers in my garden started blooming this week for spring finally.,no,no
I was able to help my parents pay off some debt that was going to accrue interest.,yes,yes
I sold my Meerschaum pipe on Reddit to a guy for a really good price and now I seem to have made a long distance pen pal so that's actually kinda cool.,yes,yes
My sister told me that I always find the coolest and best videos for her to watch on YouTube.,no,yes
I read a new book by a favorite author.,yes,no
I found an Android app that can make free texts over WiFi.,yes,no
I went to my favorite cafe and studied and wrote and felt really productive.,yes,no
Finding the last reese's egg when I thought they were all eaten!,yes,no
I have the weekend off of work.,no,no
It was my grandma's 90th birthday.,no,yes
I was granted an admission in a university.,no,no
I got a newer and bigger tv!,yes,no
"Our two day sunny streak ended with a night thunder storm and I spent it on the porch, enjoying the show.",yes,no
My daughter did her piano recital.,no,yes
We set a sate for our wedding and booked our honeymoon!,yes,no
I got a hug from the girl I liked.,no,yes
Seeing my favorite artist in a concert.,yes,yes
Watching my children play outside in the sunshine.,no,yes
Got a promotion at work,no,no
I surpassed a level in a video game that I hadn't previously reached.,yes,no
I was very happy to watch my husband walk my daughter up the aisle at her wedding.,no,yes
I was heavily complimented on my stock pitch.,no,yes
My husband got me 5 new pairs of leggings that I had be wanting.,no,yes
"I made it 10 weeks without a cigarette and got a gym membership, moving my life further in the right direction.",yes,no
I made dinner.,yes,no
The time my sister asked me to give her away at her wedding.,no,yes
My aunt said that my other aunt told her that I'm a good cook.,no,yes
Travelling to Europe to visit my sister in the UK who I hadnt seen in 2years.,yes,yes
I got offered to interview for a job that has a higher pay than the one I had previously interviewed for.,yes,yes
I talked to a family member on skype,yes,yes
My youngest child took his first steps.,no,yes
I found out a favorite tv show is getting a movie.,no,no
My kid got good grades on his report card.,no,yes
"I was able to quit my job at begin working from home which i though was impossible to do, but i desperately needed to in order to better assist my son",yes,yes
I dined at one of my favorite restaurants in my city.,yes,no
I found out that my band gets to play a huge local music festival.,no,yes
I was happy when my husband surprised me with an early Mother's Day gift.,yes,yes
I was surprised with a gift by my girlfriend.,yes,yes
I went to visit a beloved family member.,yes,yes
I ate half a family-sized bag of jalapeno flavored potato chips.,yes,no
"I had tacos for dinner, and tacos are my favorite.",yes,no
Singing in the car with the windows rolled down on an nice sunny day.,yes,no
Helping my mother prepare Easter dinner for our family.,yes,yes
I only had money for a 2 hour bus ticket bit the driver gave me a full day pass instead.,no,yes
I ate a really good meal that included spicy chicken that I had never eaten before.,yes,no
Having my dad visit and stay for a few weeks after being overseas for months.,yes,yes
When I received news that I was qualified to be a foster parent,no,no
I cooked a nice meal for my family on a weekend and everyone liked it very much.,yes,yes
I enjoyed a beer on my back porch on a bright sunny day with friends,yes,yes
The company that makes my favorite sweatshirt is sending me a new one for free because my old one ripped.,yes,yes
the wedding of my brother,no,yes
When i heard that i am getting promoted as an Incident Manager,yes,no
My daughter created her first Minecraft mod after taking lessons on modding.,yes,yes
"Two weeks ago, someone came up and hugged me for bringing cookies to a club meeting.",no,yes
I made a good recipe and got a appreciation for that too.,yes,yes
I purchased new rottweiler puppy,yes,no
I purchase a new baseball bag that is capable of holding both my newly purchase baseball bats.,yes,no
An event that made me happy in the past 3 months is when this semester was over in college.,no,no
I was happy when i ate a pizza.,yes,no
"The other day I discovered a Cure cd I didn't have already on sale at the store, and bought it.",yes,no
I brought a T-shirt for my husband in sale which he liked too much.,yes,yes
I got to workout without having to worry about working at the same time.,yes,no
We won our first volleyball game of the season.,no,yes
"I was happy when we met the neighbor, and he agreed to watch our cat when we went on vacation.",yes,yes
I went on a date with my significant other ice skating.,yes,yes
"I got a new job in a field that I love, and am finally using the skills I went to school for.",yes,no
I started a work out routine that has started giving me really good results!,yes,no
Attending my first bible study because I have found new joy and life in my faith again.,yes,yes
I attended a St. Patrick's Day parade on a cold and windy day.,yes,no
I had dinner with my Mom.,yes,yes
An event within the past 3 months that made me happy was getting a bonus from work.,no,no
I was happy when I went on a trip to the northern coast about a month ago.,yes,no
i got my car fixed so I can drive it again.,yes,no
I basically got a CSS programming certificate.,yes,no
I got tickets to the Interpol show in LA in September that has now sold out!,yes,no
I attended my mom's favorite artists concert with her.,yes,yes
My aunt got out of the hospital after dealing with a bladder infection.,no,yes
"My infant son rolled over for the first time about a month ago, and this event made me very proud and happy.",no,yes
I met with my preacher and psychiatrist separately after getting out of the mental hospital and recovered almost completely from my schizophrenia.,yes,yes
"I got some money for my birthday, which I plan to use to fund a trip to visit my girlfriend.",yes,yes
I am on track to double my income over next year.,yes,no
My son sang wonderfully at his end of year program.,no,yes
"An appraisal of a home I am about to buy came in, allowing me to negotiate for a lower closing cost.",yes,yes
My wife gave me a Disney puzzle for Valentines Day.,no,yes
I made a cool song on my computer this morning,yes,no
There was a surprise party for me at work where someone made cake and treats for us.,no,yes
I was able to pay off a debt that I had working on for the past year.,yes,no
Going to six flags and riding roller coasters.,yes,no
I got ice cream from the soft serve machine in the cafeteria.,yes,no
I found out that I got into my favorite graduate program.,yes,no
My child secured a summer internship.,no,yes
I heard a good song.,yes,no
I turned in final grades for the semester with an hour to spare.,yes,no
I got to work from home for a few days.,yes,no
I visited my mother.,yes,yes
I got a new tv,yes,no
I celebrated my birthday.,yes,no
I am happy that i was able to throw my sister in law's baby shower and made all the deocrations,yes,yes
We played spikeball with one of our new hires and it was incredibly fun.,yes,yes
Today when I was riding my new bike in the park.,yes,no
"Had a great weekend and also got an usual amount of rest, leaving me feeling refreshed and hyped for this upcoming week.",yes,no
My favorite hockey team won the second round of playoffs.,no,no
"I got to see my boyfriend's cat, and she was more affectionate then she normally is.",yes,yes
"Yesterday, my roommate's two year old started trying to say my name.",no,yes
Last week I cooked a delicious new recipe,yes,no
I was very happy when I found out that my neighbor's dog overcame an accident.,no,yes
Ran my fastest 5K ever!,yes,no
My son finished his state standardized testing for 4th grade on Friday!,no,yes
"I went to the movies with my family to see ""Get Out.""",yes,yes
My wife came home from a trip.,no,yes
"When I was finally able to pay all of my bills for the month without having to sell anything to the pawn shop, I felt a bit better about my financial situation.",yes,no
I went to my first Syracuse Chiefs game of the year the other day with my family.,yes,yes
We went on a big family trip to Disneyland for my 50th birthday.,yes,yes
Last weekend my wife and I spent a day at the beach close to our house.,yes,yes
I got a surprise phonecall from an old friend who I had not talked to in about a year and we caught up on life.,no,yes
The new assistant manager that has it out for me is being transferred to another store.,no,yes
Found out about the cheap pizza hut buffet.,yes,no
Had an extremely productive day on MTurk.,yes,no
I got to do a scientific study online that paid 12 GBP and it was an interesting one requiring actual thought.,yes,no
I was recognized at work company wide on completing a project I had been working on with good results.,yes,yes
Learning how to do an important aspect of my job on my own.,yes,no
My daughter made straight A's on her progress report!,no,yes
The day I got a promotion at work.,yes,no
"My favorite premier league team won again today, inching one step closer to winning the championship.",no,yes
Cousin's Marriage,yes,yes
I talked to a new friend on the internet and he donated to my girlfriend's stream so we could go to a restaurant.,yes,yes
My graduation from college made me very happy.,yes,no
I was put in charge of a big project at my job.,yes,no
My insurance company waived my deductible for my car repair claim.,no,no
My company was purchased by a bigger company and I found out I would get much better health insurance/benefits.,no,no
I went to the observation deck at the US Bank tower and saw a great view of Los Angeles,yes,no
My students were very cute today.,no,yes
I'm planning a trip to Hawaii!,yes,no
I received a bowl that I made in a glass art class and was pleased at the result.,yes,no
attending to sports event,yes,no
I cooked my favorite dinner - chicken and rice.,yes,no
I started on a new client at work this week.,yes,yes
My son was upset he was going to stay the night with his grandmother to go to the aquarium the next day and he said he didn't want to go because he was going to miss me and his father.,no,yes
I was recently offered a permanent position with the national park service,yes,no
I was happy today because I got to tell my boyfriend's mother happy birthday.,yes,yes
My parents came over to spend the day with my son.,no,yes
Last week I got a phone call from an old friend who I hadn't spoken to in 25 years.,yes,yes
My cousins from Germany came to visit me this spring.,no,yes
I started a new job delivering packages.,yes,no
I have bought a new bike for myself and its very nice to ride.,yes,no
"Am Happy when am get a college administration seat in a Top University ,  I am selected that college Student as a Degree so am happy.",no,yes
I was accepted into Music school as a transfer student.,no,no
I WENT TO TEMPLE,yes,no
I WENT TO TEMPLE,yes,no
I WENT TO TEMPLE,yes,no
I WENT TO TEMPLE,yes,no
I WENT TO TEMPLE,yes,no
I bought a nice sweater on sale for a big discount.,yes,no
I got Promoted as a senior manager for which I got a increment last month which made me feel very excited and happy and still enjoying that moment,yes,no
A monkey laughing.,no,no
it was my birthday today and i got to go to dinner with my family.,yes,yes
I WENT TO COLLEGE.,yes,no
Worked extra hours for past one month and earned enough to pay my son's school fees and paid today.,yes,yes
I finished my last final exam ever (hopefully).,yes,no
Getting the maximum annual pay raise I could have hoped for at work.,no,no
i met a new girlfriend in my life last month,yes,yes
I brought a gift for my husband.,yes,yes
I met with my dad for lunch on Sunday.,yes,yes
I received my first paycheck Friday from a new job.,yes,no
Listening a certain song when goes on the long drive in the car and feeling very blissful on that time how much fun I`m having.,no,no
Listening a certain song when goes on the long drive in the car and feeling very blissful on that time how much fun I`m having.,no,no
"Listening a certain song, when goes on the long drive in the car and feeling very blissful on that how much fun i am having.",yes,no
"My whole family went to Disneyland last month, even cousins who lives out of states showed up and we have a blast together.",yes,yes
I was happy when my son got his first base hit in minor league.,yes,yes
Momma Kitty came into the room just now and started rubbing on my leg.,no,yes
I was super happy about getting a promotion at work and a 2 dollar an hour raise to go with it.,no,yes
Today I was offered a full time babysitting job.,no,yes
Listening a certain song when goes on the long drive in the car and feeling very blissful on that time how much fun I`m having.,no,no
MY FRIEND BIRTH DAY,no,yes
my boy friend give me a surprise party,no,yes
my wife bought me a Rolex watch just because she felt like it.,no,yes
I GOT JOB LAST MONTH.,yes,no
"I started listening to an album that I hadn't heard in few years, and it was like listening to it for the first time as far as how much I enjoyed the music.",yes,no
I watch a funny short film in YouTube.,yes,no
My dad getting out of the hospital after being sick for two weeks with pneumonia and an ear infection.,no,yes
I have new help at work.,no,yes
My boyfriend got a decent-paying job that he actually enjoys.,no,yes
"I graduated law school cum laude less than a month ago, and this made me feel satisfied and happy.",yes,no
I fixed my car.,yes,no
I got famous clam chowder at the coast and it was really good.,yes,no
I passed my real estate license test.,yes,no
I had a delicious steak for dinner last week.,yes,no
I order tickets for a concert for Donny and Marie!,yes,no
I made a great impression at work.,yes,no
"I found an old shirt I had been looking for since nearly 3 weeks ago, which was one of my favorites.",yes,no
Spending a family day at the beach with my fiance and daughter.,yes,yes
My oldest son is graduating from his university with honors.,no,yes
A dog I had to give up got readopted almost immediately this Saturday.,no,yes
"I Went to Frankfurt, Germany for the first time in my life allowing me to meet some online friends as well as the creator of the game I play with them.",yes,yes
I finally was able to replace my old laptop with a newer spec'd one.,yes,no
I finished a whole bunch of homework from college and it makes me happy!,yes,no
Long conversation with friends over drinks.,yes,yes
I bought a birthday present for a friend and gave it to them.,yes,yes
I'm happy that I lost 3 pounds when I got on the scale today.,yes,no
My niece got married this past Saturday.,no,yes
I played in a lottery pool and ended up winning it and took home a cool 500.,yes,no
I made enough money on Mechanical Turk to pay my car insurance bill.,yes,no
Spent the entire day with my grandma today.,yes,yes
I was happy when I was able to pay for part of my plane ticket with points instead of dollars.,yes,no
"I was able to find the last few Cadbury Creme Eggs at the store, taking all of them instead of letting the rude family searching for them have any.",yes,yes
my wife told me she loved me.,no,yes
I planned a weekend getaway to Las Vegas,yes,no
I found out about a job promotion.,yes,no
Having a conversation on my grandmother's birthday.,yes,yes
We went to a concert for a choir that my brother is in.,no,yes
My girlfriend recalled a date we went on with her friend and they enthused about how wonderful I was for taking her on that date.,no,yes
I randomly ran into an old friend while I was shopping.,yes,yes
Passing an assignment for a scholarship scheme for the university mentioned in 1.,no,no
My grandma came to visit from Jersey.,no,yes
"I managed to solve the last puzzle in the video game, ""Zero Escape: The Nonary Games"", that I struggled with for hours.",yes,no
When I ran into my best friend at the movies after a long time.,no,yes
"Within the last week, I finished taking my final exams for college and felt accomplished because I thought I did well and didn't have to study anymore.",yes,no
All the brown dead grass from the winter out back of our house has been regrown with fresh new green grass.,no,no
I went out to eat,yes,no
i got a good evaluation at work,yes,no
I went to the museum with my girlfriend and we had a great time.,yes,yes
Helping my mother start an eBay store made me happy.,yes,yes
"I went on a week long cruse last month with stops in Cozumel, Belize, and Honduras.",yes,no
"After my 3 year anniversary at my current job, I was given a raise.",no,no
I just received a big credit increase on my credit card.,no,no
"I was able to find steak really cheap, and it was really good.",yes,no
I was able to afford the apartment of my dreams.,yes,no
"I got to hear my favorite band, Widespread Panic, at the Wanee music festival.",yes,yes
I bought a couple new video games for my computer.,yes,no
I found out my best friend had his application approved to share residence at my apartment.,no,yes
I met some new people at a party and we became friends.,yes,yes
"A few days ago, I received my 6-month assessment at work and was told by my bosses that I am a very good, ""solid"" employee in every applicable area.",no,yes
"I went out of town for a big trip, I went down to the coast and went fishing its really fun.",yes,no
